DB030,DB040,pobreza_energetica,renta_equiv_euros,HY020,quintil_renta,tiene_mayor65,n_miembros,HH010,HH021,HH030,HS120,HD080
10941,ES30,1,-12136.076923076922,-15776.9,1,FALSE,2,4,2,5,2,2
10942,ES30,1,8670.666666666666,15607.2,1,FALSE,3,4,3,4,1,2
10943,ES30,0,64456.92,161142.3,5,FALSE,4,4,1,5,5,1
10944,ES30,0,45434.013333333336,68151.02,5,TRUE,2,4,1,5,5,1
10945,ES30,0,7974.9047619047615,16747.3,1,FALSE,4,3,4,4,3,2
10946,ES30,1,18533.057142857142,64865.7,3,FALSE,6,3,1,3,2,2
10949,ES30,0,26795.333333333332,56270.2,4,FALSE,4,4,2,4,5,1
10950,ES30,0,36877.26666666667,55315.9,5,FALSE,2,4,2,4,3,2
10951,ES30,0,12069.8,12069.8,2,FALSE,1,4,3,2,3,2
10952,ES30,0,29219.42222222222,52594.96,4,FALSE,3,4,2,5,6,1
10953,ES30,0,54966.72,54966.72,5,FALSE,1,4,2,6,6,1
10954,ES30,0,20509.666666666668,43070.3,3,FALSE,4,4,2,5,5,1
10955,ES30,0,42660.899999999994,76789.62,5,FALSE,3,4,2,3,5,1
10956,ES30,0,55572.06666666667,83358.1,5,FALSE,2,4,2,5,6,1
10957,ES30,0,26171.68,65429.2,4,FALSE,4,4,2,5,6,1
10958,ES30,0,48278.7,48278.7,5,FALSE,1,4,1,5,5,1
10959,ES30,0,31710.761904761905,66592.6,4,FALSE,4,4,2,6,3,1
10960,ES30,0,28753.3,28753.3,4,TRUE,1,4,1,6,5,1
10962,ES30,0,40631.6,40631.6,5,FALSE,1,3,1,7,5,1
10963,ES30,0,10675.9,10675.9,1,TRUE,1,4,5,5,5,1
10965,ES30,NA,15491.9,15491.9,NA,TRUE,1,4,1,5,2,3
10967,ES30,0,37171.13333333333,55756.7,5,TRUE,2,4,1,8,5,1
10968,ES30,0,39326.3,39326.3,5,TRUE,1,4,1,3,5,1
10969,ES30,0,36034.4,54051.6,5,TRUE,2,4,1,6,5,1
10971,ES30,0,13600.65,27201.3,2,TRUE,3,2,1,7,5,1
10972,ES30,0,40658.857142857145,85383.6,5,FALSE,4,4,2,5,5,1
10973,ES30,0,43675.01333333333,65512.52,5,TRUE,2,4,1,5,4,1
10974,ES30,0,32796.28,81990.7,5,TRUE,4,4,1,7,5,1
10975,ES30,0,18667.5,18667.5,3,TRUE,1,3,1,5,6,1
10976,ES30,1,4210.881818181819,13895.91,1,FALSE,6,4,3,3,1,2
10977,ES30,0,44845.444444444445,80721.8,5,FALSE,3,3,2,3,3,1
10978,ES30,1,33502.9,33502.9,5,FALSE,1,4,3,6,1,2
10979,ES30,0,24178.619047619046,50775.1,4,FALSE,4,3,2,5,4,1
10980,ES30,NA,58486.73333333334,87730.1,NA,TRUE,2,4,1,5,5,1
10982,ES30,0,16582.833333333336,39798.8,2,FALSE,5,2,2,5,4,1
10983,ES30,0,23581.695652173916,54237.9,4,FALSE,4,4,3,5,4,1
10984,ES30,1,7421.7,14843.4,1,FALSE,3,4,3,5,1,3
10985,ES30,0,23925.7,23925.7,4,FALSE,1,4,2,2,2,1
10986,ES30,0,24729.761904761905,51932.5,4,FALSE,4,1,2,6,5,1
10988,ES30,0,22467.3,44934.6,3,FALSE,3,4,1,5,5,1
10989,ES30,0,8293.1,8293.1,1,FALSE,1,4,5,4,1,2
10990,ES30,0,30258.57,60517.14,4,FALSE,3,4,1,5,5,1
10991,ES30,0,39585.04761904762,83128.6,5,FALSE,4,2,2,5,5,1
10993,ES30,NA,30400,60800,NA,TRUE,3,4,2,4,5,1
10994,ES30,0,38957.61304347826,89602.51,5,FALSE,4,2,2,7,6,1
10995,ES30,0,56097.53333333333,84146.3,5,TRUE,2,2,2,7,4,1
10996,ES30,0,19427.533333333333,29141.3,3,FALSE,2,4,3,4,2,2
10997,ES30,0,10345.67,10345.67,1,TRUE,1,4,1,4,4,1
10998,ES30,1,40162.64,100406.6,5,FALSE,4,2,1,6,3,3
10999,ES30,NA,6787.2,13574.4,NA,TRUE,3,4,1,5,3,1
11000,ES30,0,30374.4,30374.4,4,FALSE,1,4,1,3,5,1
11002,ES30,NA,14186.52380952381,29791.7,NA,FALSE,4,4,2,5,2,1
11004,ES30,0,16256.476190476189,34138.6,2,FALSE,4,4,1,5,5,1
11005,ES30,0,22722.833333333332,40901.1,3,FALSE,3,4,3,4,5,1
11006,ES30,NA,7786.1,7786.1,NA,TRUE,1,4,1,5,2,2
11008,ES30,0,16189.722222222223,29141.5,2,FALSE,3,4,3,3,4,1
11009,ES30,0,13442.722222222223,24196.9,2,FALSE,3,3,3,4,4,1
11010,ES30,0,8788,8788,1,FALSE,1,3,1,5,2,1
11011,ES30,0,31361.02,31361.02,4,FALSE,1,3,1,5,3,3
11012,ES30,0,32477.9,32477.9,4,TRUE,1,4,2,5,5,1
11013,ES30,0,5323.594736842106,20229.66,1,FALSE,7,4,3,5,2,2
11014,ES30,0,12275.42,12275.42,2,FALSE,1,3,1,4,3,1
11015,ES30,1,5813.714285714285,12208.8,1,FALSE,4,4,3,3,1,2
11016,ES30,0,32334.13333333333,48501.2,4,TRUE,2,4,2,4,3,2
11017,ES30,0,36012.5,36012.5,5,TRUE,1,4,1,4,5,1
11018,ES30,0,30433.600000000002,45650.4,4,FALSE,2,4,2,6,5,1
11019,ES30,0,32033.676190476188,67270.72,4,FALSE,4,4,1,7,5,1
11020,ES30,0,28155.3,56310.6,4,FALSE,3,4,2,5,6,1
11021,ES30,0,30785.873333333333,46178.81,4,FALSE,2,4,3,5,4,1
11022,ES30,0,42254.5,84509,5,FALSE,3,4,1,6,4,1
11023,ES30,0,16047.5,16047.5,2,TRUE,1,4,1,5,4,1
11024,ES30,0,16364.666666666666,24547,2,TRUE,2,4,1,6,5,1
11026,ES30,NA,34188.1,34188.1,NA,TRUE,1,4,1,6,4,1
11027,ES30,0,29375,58750,4,TRUE,3,4,2,5,5,1
11028,ES30,1,12756.35,25512.7,2,FALSE,3,4,3,4,3,2
11029,ES30,0,43302.72,43302.72,5,TRUE,1,4,1,5,5,1
11030,ES30,0,21507.055555555555,38712.7,3,FALSE,3,4,3,4,5,1
11031,ES30,0,27010.733333333334,40516.1,4,TRUE,2,4,1,3,4,1
11032,ES30,1,8332.5,14998.5,1,FALSE,3,4,2,5,2,2
11033,ES30,1,15755.73,31511.46,2,TRUE,3,4,3,5,1,2
11034,ES30,0,17510.6,17510.6,3,TRUE,1,4,1,4,4,1
11035,ES30,0,18963.61333333333,28445.42,3,TRUE,2,4,1,5,4,1
11036,ES30,0,43498.86666666667,65248.3,5,FALSE,2,4,1,4,5,1
11037,ES30,0,27055.46,54110.92,4,TRUE,3,4,1,10,4,1
11038,ES30,0,20943.5,20943.5,3,FALSE,1,4,3,3,3,3
11039,ES30,0,22073.13333333333,33109.7,3,TRUE,2,4,1,5,3,3
11040,ES30,1,4605.32,11513.3,1,TRUE,4,4,4,6,2,2
11041,ES30,NA,12446.32,12446.32,NA,TRUE,1,4,1,5,3,1
11042,ES30,1,7054.35,14108.7,1,FALSE,3,4,1,5,1,2
11044,ES30,1,13645.312195121953,55945.78,2,FALSE,8,3,2,5,3,1
11045,ES30,0,17184.65,34369.3,2,FALSE,3,3,1,5,5,1
11047,ES30,0,28903.166666666668,86709.5,4,TRUE,5,4,3,5,5,1
11048,ES30,0,22458.000000000004,51653.4,3,FALSE,4,4,2,4,3,1
11050,ES30,0,18730.12,18730.12,3,TRUE,1,4,1,5,5,1
11051,ES30,NA,4980.9,4980.9,NA,FALSE,1,4,3,4,2,3
11052,ES30,NA,19752.7,19752.7,NA,FALSE,1,3,1,3,2,2
11053,ES30,0,18381.239999999998,45953.1,3,TRUE,4,4,1,4,4,1
11054,ES30,0,6787.4000000000005,10181.1,1,TRUE,2,4,3,5,4,1
11057,ES30,0,26854.055555555555,48337.3,4,FALSE,3,4,2,5,6,1
11058,ES30,0,40713.6,40713.6,5,FALSE,1,2,2,6,5,1
11059,ES30,0,13023.333333333334,19535,2,TRUE,2,1,1,6,5,1
11060,ES30,1,9151.309523809523,19217.75,1,FALSE,4,3,3,4,1,3
11061,ES30,1,17810.600000000002,49869.68,3,FALSE,5,3,3,5,2,2
11062,ES30,0,42555.5,42555.5,5,FALSE,1,3,2,4,4,1
11063,ES30,1,15577.933333333334,23366.9,2,FALSE,2,3,4,4,2,2
11064,ES30,0,19044.944444444445,34280.9,3,FALSE,3,3,2,5,4,1
11065,ES30,0,16101.5,16101.5,2,FALSE,1,1,1,4,5,1
11066,ES30,0,14786.8,14786.8,2,FALSE,1,4,5,6,5,1
11069,ES30,0,16450.777777777777,29611.4,2,FALSE,3,4,2,5,3,1
11070,ES30,0,17257.966666666667,25886.95,3,FALSE,2,4,3,5,5,1
11071,ES30,0,11279.085714285715,23686.08,1,FALSE,4,3,2,5,4,1
11072,ES30,0,20906.933333333334,31360.4,3,FALSE,2,4,1,6,4,1
11073,ES30,0,9527.5,9527.5,1,TRUE,1,4,5,5,4,3
11076,ES30,0,15647.45,31294.9,2,TRUE,3,3,3,4,5,1
11077,ES30,0,23366.8,35050.2,3,FALSE,2,3,2,4,4,1
11078,ES30,0,8457.944444444443,15224.3,1,FALSE,3,3,3,5,3,2
11079,ES30,0,29859.8,29859.8,4,FALSE,1,1,1,4,4,1
11080,ES30,NA,63138.4,63138.4,NA,TRUE,1,3,1,5,4,1
11081,ES30,1,13554.1,13554.1,2,TRUE,1,2,1,4,3,2
11082,ES30,0,30447.176470588234,103520.4,4,TRUE,7,2,1,7,3,1
11084,ES30,0,41247,61870.5,5,TRUE,2,2,1,6,6,1
11085,ES30,0,38980.857142857145,81859.8,5,FALSE,4,1,1,5,4,1
11086,ES30,0,17504.9,17504.9,3,FALSE,1,4,3,3,4,2
11087,ES30,0,23501.15,47002.3,3,TRUE,3,4,4,2,4,3
11090,ES30,0,13934.3,13934.3,2,TRUE,1,3,1,3,5,2
11091,ES30,NA,12140.685714285713,25495.44,NA,FALSE,4,1,1,5,4,1
11092,ES30,0,19271.733333333334,40470.64,3,FALSE,4,2,2,5,5,1
11093,ES30,1,12806.3,12806.3,2,FALSE,1,2,2,4,1,2
11094,ES30,0,10945.666666666666,16418.5,1,TRUE,2,1,1,9,4,1
11095,ES30,1,13999.307692307691,18199.1,2,FALSE,2,4,5,5,1,2
11096,ES30,0,15434.25,30868.5,2,FALSE,3,4,1,5,4,1
11097,ES30,NA,17882,17882,NA,TRUE,1,3,1,7,NA,3
11098,ES30,1,9687.16,24217.9,1,TRUE,4,3,2,4,2,2
11099,ES30,0,24496.2,24496.2,4,FALSE,1,4,2,3,3,2
11102,ES30,0,23047.333333333332,48399.4,3,FALSE,4,4,2,5,4,1
11103,ES30,1,28506.733333333334,42760.1,4,TRUE,2,3,2,5,4,2
11104,ES30,0,18030.11111111111,32454.2,3,FALSE,3,2,2,6,5,1
11105,ES30,0,26642.722222222223,47956.9,4,FALSE,3,3,2,3,5,1
11107,ES30,1,16690.645161290322,51741,2,FALSE,6,4,2,6,2,2
11108,ES30,0,29259.55,58519.1,4,FALSE,3,2,2,7,4,1
11109,ES30,0,23324.7,23324.7,3,FALSE,1,3,1,5,4,1
11110,ES30,1,7459.09090909091,24615,1,TRUE,6,4,2,5,3,2
11111,ES30,0,12587.777777777777,22658,2,FALSE,3,4,2,5,2,2
11112,ES30,0,28420.866666666665,59683.82,4,FALSE,4,4,2,5,5,1
11113,ES30,0,34516.619047619046,72484.9,5,FALSE,4,2,2,6,5,1
11115,ES30,NA,19285.2,19285.2,NA,TRUE,1,1,1,4,3,2
11116,ES30,1,6770,6770,1,FALSE,1,1,3,3,2,2
11117,ES30,0,22763.26086956522,52355.5,3,FALSE,4,2,2,5,4,1
11119,ES30,0,31860.6,31860.6,4,FALSE,1,1,1,4,4,1
11121,ES30,1,6981.7,13963.4,1,FALSE,3,4,1,4,1,2
11122,ES30,NA,22647.4,22647.4,NA,FALSE,1,4,1,2,6,1
11124,ES30,0,28190.35,56380.7,4,FALSE,3,4,1,5,5,1
11126,ES30,0,29293.2,29293.2,4,FALSE,1,4,3,3,5,1
11127,ES30,1,10138.52380952381,21290.9,1,FALSE,4,4,3,4,1,2
11130,ES30,NA,20405.2,30607.8,NA,FALSE,2,4,2,5,5,1
11131,ES30,0,10742.380952380952,22559,1,FALSE,4,3,3,5,2,2
11132,ES30,NA,31335.7,31335.7,NA,TRUE,1,2,1,6,6,1
11133,ES30,NA,19215.733333333334,28823.6,NA,TRUE,2,2,1,5,5,1
11135,ES30,0,59807.54583333333,143538.11,5,FALSE,5,4,2,5,6,1
11136,ES30,0,49053.93333333333,73580.9,5,FALSE,2,4,3,4,5,1
11137,ES30,0,52371.142857142855,109979.4,5,FALSE,4,4,2,5,6,1
11138,ES30,0,45950.54,68925.81,5,FALSE,2,4,2,4,4,1
11139,ES30,0,27865,58516.5,4,FALSE,4,4,1,5,6,1
11140,ES30,0,55127.73333333334,82691.6,5,FALSE,2,4,2,5,4,1
11141,ES30,0,28354.95,56709.9,4,FALSE,3,4,1,5,5,1
11142,ES30,0,28716,28716,4,FALSE,1,4,3,3,5,1
11143,ES30,0,22475.5,22475.5,3,TRUE,1,4,1,1,2,1
11145,ES30,1,9682.6,9682.6,1,FALSE,1,4,1,3,4,2
11146,ES30,0,42614.06,85228.12,5,FALSE,3,4,1,5,6,1
11147,ES30,0,28397,28397,4,FALSE,1,4,1,3,3,1
11148,ES30,0,23260.338888888888,41868.61,3,FALSE,3,4,3,4,5,1
11149,ES30,0,26410.399999999998,39615.6,4,TRUE,2,3,1,5,4,2
11150,ES30,0,34902.5,34902.5,5,FALSE,1,4,3,2,3,1
11152,ES30,0,18567.7,18567.7,3,FALSE,1,4,1,2,5,1
11153,ES30,0,21591.7,21591.7,3,FALSE,1,4,2,4,6,1
11154,ES30,1,16497.2,24745.8,2,FALSE,2,4,3,3,4,1
11155,ES30,0,12974.6,12974.6,2,FALSE,1,4,3,5,4,1
11156,ES30,0,27217.05,54434.1,4,TRUE,3,4,1,5,5,1
11158,ES30,0,10073.933333333332,15110.9,1,TRUE,2,4,3,4,3,1
11159,ES30,0,39968.77777777778,71943.8,5,FALSE,3,4,3,4,6,1
11160,ES30,NA,12724.1,12724.1,NA,FALSE,1,4,2,1,2,2
11161,ES30,0,21245.809523809523,44616.2,3,FALSE,4,4,2,5,5,1
11162,ES30,NA,30711.466666666664,46067.2,NA,TRUE,2,4,1,4,6,1
11165,ES30,0,30673.92,30673.92,4,TRUE,1,4,1,5,3,2
11166,ES30,0,38960.3,38960.3,5,FALSE,1,4,2,4,5,1
11167,ES30,0,34501.26666666667,51751.9,5,TRUE,2,4,1,5,5,1
11168,ES30,1,13636.295652173914,31363.48,2,TRUE,4,4,1,4,6,1
11169,ES30,0,44852.93333333333,67279.4,5,FALSE,2,4,1,5,4,1
11170,ES30,0,21649.761904761905,45464.5,3,FALSE,4,4,2,4,6,1
11172,ES30,0,43468.277777777774,78242.9,5,FALSE,3,4,3,4,4,1
11173,ES30,0,40183.46666666667,60275.2,5,FALSE,2,4,3,6,5,1
11174,ES30,0,40317.61538461538,52412.9,5,FALSE,2,3,3,5,5,1
11175,ES30,0,33546.7,67093.4,5,FALSE,3,4,2,5,4,1
11176,ES30,0,16354.571428571431,45792.8,2,TRUE,5,4,3,5,3,1
11177,ES30,0,36260.240000000005,90650.6,5,FALSE,4,4,1,5,5,1
11179,ES30,0,26862.333333333332,40293.5,4,TRUE,2,4,1,5,4,1
11180,ES30,0,26911.326666666664,40366.99,4,FALSE,2,4,1,3,6,1
11181,ES30,0,36253.6,54380.4,5,TRUE,2,4,1,6,4,3
11182,ES30,0,15757,15757,2,FALSE,1,4,5,5,5,1
11183,ES30,0,43355.333333333336,65033,5,FALSE,2,4,1,6,5,1
11184,ES30,0,30308,30308,4,FALSE,1,4,5,2,4,1
11185,ES30,0,73687,110530.5,5,FALSE,2,4,2,8,4,1
11187,ES30,0,33711.1,33711.1,5,FALSE,1,4,2,3,6,1
11188,ES30,0,20947.3,20947.3,3,TRUE,1,3,1,6,6,1
11189,ES30,0,22302.8,22302.8,3,FALSE,1,4,3,4,5,1
11190,ES30,0,70514.13333333333,105771.2,5,FALSE,2,4,1,6,6,1
11191,ES30,0,68691.21739130435,157989.8,5,FALSE,4,4,2,6,6,1
11192,ES30,0,42847.4,64271.1,5,FALSE,2,4,2,3,5,1
11193,ES30,0,42705.933333333334,64058.9,5,TRUE,2,4,1,6,5,1
11194,ES30,0,17364.533333333333,26046.8,3,TRUE,2,4,4,2,3,1
11195,ES30,0,62631.1,62631.1,5,FALSE,1,4,2,6,5,1
11196,ES30,0,28985.2,43477.8,4,FALSE,2,4,2,3,5,1
11197,ES30,0,21677.846666666668,32516.77,3,TRUE,2,4,1,5,4,1
11199,ES30,0,15909.5,31819,2,FALSE,3,4,4,5,5,1
11200,ES30,0,70446.8,70446.8,5,TRUE,1,4,1,3,5,1
11201,ES30,0,19572.853333333333,29359.28,3,TRUE,2,4,3,2,3,1
11202,ES30,0,25935.9,25935.9,4,TRUE,1,4,1,5,5,1
11203,ES30,0,19083.2,28624.8,3,TRUE,2,4,1,3,4,1
11204,ES30,0,22704.4,22704.4,3,FALSE,1,4,2,2,3,2
11205,ES30,1,11957.8,11957.8,2,FALSE,1,3,3,2,2,2
11206,ES30,NA,6784.64,6784.64,NA,FALSE,1,4,3,1,4,1
11207,ES30,0,11720.51,11720.51,2,FALSE,1,3,3,2,5,1
11208,ES30,NA,41459.26666666667,62188.9,NA,TRUE,2,4,1,6,5,1
11209,ES30,0,35610.11111111111,64098.2,5,FALSE,3,4,3,4,5,1
11211,ES30,0,37612.86666666667,56419.3,5,TRUE,2,4,1,5,5,1
11212,ES30,0,86261.26666666666,129391.9,5,FALSE,2,4,1,5,5,1
11213,ES30,0,11219.62,11219.62,1,FALSE,1,4,5,4,3,2
11215,ES30,0,15899.9,15899.9,2,TRUE,1,4,1,5,3,1
11216,ES30,0,13653.6,13653.6,2,FALSE,1,4,1,5,4,1
11218,ES30,0,53545.1,53545.1,5,FALSE,1,4,3,3,5,1
11219,ES30,1,12101.800000000001,18152.7,2,TRUE,2,3,4,5,3,1
11220,ES30,0,9632.85,19265.7,1,FALSE,3,4,3,5,4,1
11221,ES30,0,20135,20135,3,FALSE,1,4,3,5,4,1
11222,ES30,0,47338.13333333333,71007.2,5,TRUE,2,4,1,4,5,1
11223,ES30,1,22269.86666666667,33404.8,3,FALSE,2,4,3,5,3,2
11224,ES30,NA,2860.08,2860.08,NA,TRUE,1,4,1,6,5,1
11225,ES30,0,31601.466666666664,47402.2,4,TRUE,2,4,1,6,2,3
11226,ES30,0,46281.8,46281.8,5,FALSE,1,4,3,4,5,1
11227,ES30,0,38525.95,77051.9,5,TRUE,3,4,2,5,5,1
11228,ES30,NA,1422.75,2276.4,NA,FALSE,3,4,1,5,4,1
11229,ES30,NA,34389.1,34389.1,NA,TRUE,1,4,1,4,5,1
11230,ES30,NA,24402.066666666666,36603.1,NA,FALSE,2,4,1,4,5,1
11232,ES30,0,14764.4,36911,2,FALSE,4,4,2,5,3,1
11233,ES30,0,11283.8,22567.6,1,FALSE,3,4,4,5,4,1
11234,ES30,1,11042.845454545455,36441.39,1,TRUE,6,4,3,4,2,2
11235,ES30,0,30400.399999999998,45600.6,4,FALSE,2,4,3,5,6,1
11236,ES30,0,19459.133333333335,29188.7,3,TRUE,2,3,1,4,4,1
11237,ES30,0,35023.7619047619,73549.9,5,FALSE,4,4,3,5,4,1
11238,ES30,0,30232.04761904762,63487.3,4,FALSE,4,4,3,4,4,1
11240,ES30,0,42291.27777777778,76124.3,5,FALSE,3,4,2,4,4,1
11241,ES30,0,13361.066666666666,20041.6,2,FALSE,2,4,4,4,4,1
11242,ES30,0,29527.600000000002,44291.4,4,FALSE,2,4,3,4,5,1
11243,ES30,1,15432.11111111111,27777.8,2,FALSE,3,4,2,4,3,1
11244,ES30,0,32734,49101,4,FALSE,2,4,5,5,4,1
11245,ES30,0,38151.95238095238,80119.1,5,FALSE,4,4,1,5,4,1
11246,ES30,0,11424.947619047618,23992.39,1,FALSE,4,4,2,5,4,1
11249,ES30,0,37016,37016,5,FALSE,1,4,1,2,4,1
11251,ES30,0,5167.714285714286,14469.6,1,TRUE,5,4,3,5,3,1
11252,ES30,0,36312.8,36312.8,5,FALSE,1,4,3,3,6,1
11253,ES30,0,57424.13333333333,86136.2,5,FALSE,2,4,1,4,6,1
11254,ES30,0,48518.86666666667,87333.96,5,FALSE,3,3,3,5,5,1
11255,ES30,0,27624.533333333336,41436.8,4,FALSE,2,4,3,4,4,1
11256,ES30,0,37067.066666666666,55600.6,5,FALSE,2,4,1,10,6,1
11257,ES30,0,27655.733333333334,41483.6,4,TRUE,2,4,1,4,5,1
11258,ES30,0,15411.347826086958,35446.1,2,FALSE,4,4,3,6,6,1
11259,ES30,0,20481.923076923074,53253,3,FALSE,5,4,2,8,4,1
