CUSEC,LST_summer_mean_21,LST_summer_sd_21,LST_summer_p10_21,LST_summer_median_21,LST_summer_p90_21,LST_winter_mean_21,LST_winter_sd_21,LST_winter_p10_21,LST_winter_median_21,LST_winter_p90_21,NDVI_mean_21,NDVI_sd_21,NDVI_p10_21,NDVI_median_21,NDVI_p90_21,NDBI_mean_21,NDBI_sd_21,NDBI_p10_21,NDBI_median_21,NDBI_p90_21,ALBEDO_mean_21,ALBEDO_sd_21,ALBEDO_p10_21,ALBEDO_median_21,ALBEDO_p90_21,tcc
2807908129,42.6825418164554,2.5396484717015007,38.35948721208852,43.743301712059996,45.05479828313548,-6.758986175480571,0.0,-6.758986175480571,-6.758986175480571,-6.758986175480571,0.16840465696745005,0.0761735931324009,0.12364864283406811,0.16256071107400608,0.26206310734670674,-0.03883680164416699,0.16576972571026996,-0.10510929104494832,0.016499865050908873,0.06504466577946097,0.1554388832627044,0.1910912152228203,0.07592894869858278,0.10224510604041041,0.140110207885575,8.944752253636842
2807908130,41.33382598317307,1.8099436194708727,38.52440734873649,41.68935319240452,43.29491619904177,-6.895060361546315,0.0,-6.895060361546315,-6.895060361546315,-6.895060361546315,0.1688955491550281,0.0647265211998697,0.13001037398497095,0.17343471113891215,0.24004376570553168,-0.046730187131073395,0.15178087260557638,-0.08679628207784941,-0.004130999253308986,0.04288813273517187,0.13651250657999295,0.17454353565842834,0.06585414714996801,0.08857407591468015,0.12255382116952411,5.669370173665791
2807911123,38.966646643241226,2.0800368314604794,35.452613363667936,39.665771852286184,40.98332169117764,-2.0334520627921715,2.195185468657166,-4.228637531449341,-2.0334520627921715,0.16173340586499102,0.18219050506474171,0.06403175382821162,0.12369951593465678,0.19119068153619823,0.2533430370057696,-0.08764250153827413,0.11979205742049509,-0.1328163123064673,-0.061460987229640066,-0.0028852307638435673,0.12144325882155593,0.10091164694641451,0.0675989361531214,0.09402334873887418,0.14274290573597143,3.831956387955495
2807901019,37.28126457196393,1.4724803857824733,35.018611905176286,37.820789293289415,38.67981782810801,-0.8607475313301991,2.943893671691086,-3.8046412030212857,-0.8607475313301991,2.083146140360886,0.1486202107932042,0.04877832154386872,0.09807951902838741,0.15870399006253103,0.19639502767866976,-0.05358282999186191,0.09140574709852538,-0.08211638045135669,-0.033875648525287405,0.01089008283998677,0.09011808577762087,0.04915572517071788,0.056659807942500064,0.0824111485326423,0.10480919881843581,2.279928338345383
2807901013,38.91904412251902,2.6505669312432447,33.76799415114525,39.83249363592754,41.136647354231094,0.4851224767254142,2.947955645247925,-2.4628331685225113,0.4851224767254142,3.4330781219733404,0.06350875533201449,0.02611040856421443,0.04264566734277602,0.06564212561404432,0.08918837926377335,0.048076260659346066,0.08279756498184823,0.018959085189639943,0.06563364468705654,0.10129967567783837,0.125819887110932,0.044689723871368624,0.08783154368375423,0.12113359338730874,0.15327940564085354,0.0
2807901011,38.60789076799384,2.424564732400019,33.91382378527237,39.57235140660845,40.59937313046249,-0.26030871205547707,3.162180793165469,-3.4224895052209456,-0.26030871205547707,2.901872081109991,0.0708262620941936,0.028798620614162707,0.04256889521965048,0.07612678141381979,0.0982328648017982,0.04046500306025852,0.08962706953040322,0.01916805588372745,0.059038920980595586,0.09663685883959142,0.10176442304291489,0.042645796063537286,0.06527023704845646,0.09818899946709302,0.12134007455940016,0.0
2807901016,37.872417825832265,2.068856779357823,33.97236050377006,38.59860636752123,39.86036224016967,-0.8220366430442788,3.080425468435443,-3.902462111479721,-0.8220366430442788,2.258388825391163,0.06584161577079356,0.028187381300622965,0.038639526488079,0.0690066766944565,0.09009696901818322,0.05026679972496055,0.07300189615990121,0.026439451312770913,0.06540854645869622,0.0985730361701896,0.09552317125120723,0.03689726023496855,0.06265031416902295,0.09662196355639337,0.11672151839634173,3.1136244632945864
2807901018,35.61336122850939,2.2392462282583203,31.64291937971721,36.59695560656318,37.72335321634188,-2.6903919204856903,2.112341922680603,-4.802733843166294,-2.6903919204856903,-0.5780499978050857,0.14629476799481378,0.055587392259625404,0.08180823056086428,0.15370256614873468,0.1991013533538778,-0.048786061024407634,0.08797897792316225,-0.08164899714261631,-0.035998937106519684,0.01601349624732871,0.09157762092999404,0.057703304470393804,0.0548057053669915,0.08508510961224325,0.11359354671102992,11.058570369432742
2807901009,38.459389920733514,2.1246910162999675,34.371635395938014,39.27541131259007,40.183493481709995,-0.12878760972516193,3.052656222216567,-3.1814438319417273,-0.12878760972516193,2.923868612491403,0.0635433160458396,0.026181295137583084,0.04001849077179584,0.06855169330511245,0.08677529726533882,0.033077726252248335,0.10163200763948246,0.011122606795426935,0.05557378397253991,0.09226006693925162,0.10959896475947273,0.05221695972928105,0.07380056190625325,0.10201360720717195,0.12520756912908446,0.11979329783902286
2807901008,39.09202721552959,2.232427200902748,34.79350596299696,39.997221999847405,40.8421657376822,0.15624392077262494,3.0750316040843155,-2.9187876833116904,0.15624392077262494,3.2312755248569403,0.052274242222049,0.021640223983279402,0.035785541915804145,0.05749956621173364,0.07024242759293861,0.039458494127311575,0.1049908715323035,0.024844289431800372,0.06525201635541468,0.09440677215937539,0.10814164793342501,0.04662241591585388,0.07131912692356603,0.10198182933517741,0.12529745977998225,0.0
2807901007,38.65810772332888,2.113193205126244,34.60204242544547,39.50314351724309,40.43370959141149,-0.18312476772941955,2.9219578661603327,-3.1050826338897526,-0.18312476772941955,2.7388330984309137,0.04765179790428964,0.022709553074890268,0.02695919817792906,0.053469207583055144,0.06597748526432222,0.04207504096047296,0.09852510424997746,0.015343168439585077,0.06703282946525646,0.09693709823956088,0.11108579968646284,0.048272263592229164,0.07476880351541813,0.1052685702574443,0.13083745335858896,0.0
2807901006,38.316167628776064,2.10592267228006,34.367934686895396,38.93687122396206,40.41638953706776,-0.6337385260641234,2.8388891403796213,-3.472627666443744,-0.6337385260641234,2.205150614315497,0.05198212494789516,0.02674642053602393,0.02992514426622089,0.058923144151100164,0.07263116434308343,0.04324829739528267,0.09884125070055297,0.01905496031515446,0.06609478285362572,0.09921805947849158,0.10612405629589666,0.053891321923205705,0.06517670821061053,0.10048323608686953,0.12547430957056102,0.06872477364459476
2807901004,38.41688792044163,2.2900966891552392,34.099977588302956,39.13423332900552,40.475640198512785,-0.7342051310127563,2.7271981009124104,-3.4614032319251664,-0.7342051310127563,1.9929929698996551,0.05545846456074909,0.028761172100794822,0.033368826099396315,0.061754620285735314,0.07873408352140043,0.030588686032682395,0.10285209914771079,0.020619924583193984,0.0540612746245633,0.08772007486297577,0.12167932694888584,0.06023905623997204,0.08028955325763726,0.11318301259630983,0.1378663321590295,0.13817923763179243
2807901002,38.23871480875094,2.2600267453418033,33.98407822211355,39.20624654586236,40.183752747209816,-0.6431407713098065,2.9943013166200525,-3.637442087929858,-0.6431407713098065,2.351160545310245,0.04859365130422103,0.02712728756758437,0.0318013888108259,0.05484817249686122,0.06884963409574975,0.03852078616682943,0.11363182686412832,0.036701686614599875,0.06622680332818603,0.09195110415235808,0.12304945675179485,0.06783787252413678,0.07924559522652146,0.11213623152829087,0.13386685575863633,0.0
2807901037,37.93296990824279,2.985850935923504,32.21487220427748,39.04782889687863,40.29872194358384,1.279881424826609,3.2499719019364157,-1.9700904771098073,1.279881424826609,4.529853326763026,0.0663454391376395,0.028804292846410298,0.04630228269760379,0.07380792757623539,0.09092495130012122,0.03573943561814479,0.10640644814854307,0.016296002488970927,0.06265921493985402,0.09158547863377517,0.1230303315388655,0.06529378344011248,0.0900767214949564,0.10707331109033214,0.12955845404057578,0.0
2807901038,39.47236271739132,2.225800002499765,35.5414183579618,40.083823046395324,41.33365600828026,1.5478157847989866,3.3710586231031066,-1.823242838304119,1.5478157847989866,4.918874407902094,0.06449357514302274,0.030255392212326607,0.042181698503832854,0.07123068846157117,0.08681822805012915,0.055046139357612094,0.11292722117470583,0.01893493265629476,0.0776649335349497,0.11379696775055756,0.11695923516690963,0.06747045036040525,0.07653743464702756,0.1032971734010085,0.1374524981754246,0.0
2807901054,41.04322854292788,0.8415393346771373,39.932940690268445,41.28925941266884,41.907611312956085,-2.198167556577167,0.15531742343306515,-2.3534849800102315,-2.198167556577167,-2.0428501331441016,0.06555753145070745,0.03554152924341959,0.03762136843099434,0.07281568082446603,0.09775498136304797,0.03936794338805022,0.12411596874906602,0.01940924516764538,0.06893980552426929,0.10637388715625912,0.112201598040857,0.08103908810475254,0.06739035803841115,0.0969903616002736,0.12626489442639768,0.0
2807901036,38.103403015292756,3.492892643056614,31.268409666956543,39.31473532298553,40.79555148275362,1.366143779927551,3.249260904159422,-1.8831171242318707,1.366143779927551,4.615404684086973,0.0661042892600555,0.02948133043374864,0.0447910081523196,0.07259625158004232,0.09032636363533189,0.04739325453411794,0.11174047476204532,0.031374006054061196,0.0739218250769618,0.10352985843800114,0.12412350771716762,0.06666023711148128,0.0876874977187332,0.10970532326892109,0.13393406025228125,0.0
2807901027,39.70021825040057,2.6563820961617357,34.710087194904446,40.503748415477716,41.66475912457186,1.447359208230737,3.478963132646845,-2.031603924416108,1.447359208230737,4.926322340877582,0.04768365849150167,0.0253919950328036,0.03235658595279582,0.05267085487738788,0.06849617659377721,0.049294716590092554,0.11247696825788883,0.02755985381075108,0.07411823787939316,0.11504628414341914,0.11732431369947124,0.07100462223373727,0.07922136641241381,0.10106471747136374,0.12965531978191916,0.0
2807901039,38.93379906451298,2.3514835172642017,35.03144893368425,39.79209591880465,40.99629100473986,0.828934007228683,3.350228592426405,-2.5212945851977215,0.828934007228683,4.179162599655087,0.10572377164692853,0.041006177123555455,0.06486702634261464,0.11607119008046027,0.1446745104708176,-0.019740168915505223,0.10604251116707696,-0.03865990538713352,0.0018767205109949578,0.047091001680841356,0.12655572084935196,0.07689791365536813,0.08204879263444237,0.11362588501227959,0.14006568930958913,0.6318763009217961
2807901062,38.99285430092025,0.8264842507379405,38.00924136364751,38.8816619038516,40.19885203233025,-2.385483170463799,0.0,-2.385483170463799,-2.385483170463799,-2.385483170463799,0.07176480819779317,0.03164173355105587,0.04090926405127364,0.07692552125755289,0.1019684803588621,0.005368084904012639,0.09433892772948431,-0.009992493903345043,0.025417806995985368,0.060422993780293165,0.10738112694093516,0.050476479608035175,0.06935034637188206,0.10077636252834467,0.1276219223356009,5.418119975262832
2807901063,38.92564326586884,0.8308530930272346,37.831435659133305,38.913301670294906,40.04453406375225,-2.036471731717557,0.0,-2.036471731717557,-2.036471731717557,-2.036471731717557,0.09361485997170617,0.03817397032700119,0.05448369221735638,0.10344265630212197,0.12812310615399905,-0.00127644613699218,0.1070290955485353,-0.017589169828331672,0.01753409948755572,0.06863163323859739,0.1083907270247281,0.06727608448640356,0.07278007090511927,0.09480197508191525,0.11915035426135366,3.7727512947891344
2807901066,41.05777596263488,0.8940608586841139,39.96625256096486,40.977922446337544,42.30900639689958,-2.382419689518354,0.0,-2.382419689518354,-2.382419689518354,-2.382419689518354,0.047307881555179496,0.02534553518919432,0.0325327229009811,0.05298605359266417,0.06678880453277478,0.05114407619154994,0.11061810932645709,0.021987006854587703,0.08026507358603126,0.11061250765163849,0.12085528036414633,0.06798067361812288,0.07404544316689447,0.10916135188014259,0.14051115287716753,0.0
2807901064,38.67676167854574,1.1910750244295951,36.9319083983255,38.74728735047308,40.19638256571119,-2.186271755507434,0.0,-2.186271755507434,-2.186271755507434,-2.186271755507434,0.09087511733948507,0.03501844561461745,0.051434291734082156,0.0975607157560694,0.1250791369682263,-0.004347065779079034,0.0891618430653383,-0.029177551600263422,0.009633846076481219,0.06033315913001374,0.09574684279499711,0.049856984036719135,0.06326392413727239,0.09054405020374376,0.11402308831019992,9.307334776518527
2807901065,41.2311248454697,1.1074338670826482,39.71635989697981,41.209523446777645,42.61144722237814,-2.087295227431611,0.07556109202140275,-2.162856319453014,-2.087295227431611,-2.011734135410208,0.05492073993390154,0.029495769139909502,0.04012240573748098,0.06303100553542389,0.07450133859855304,0.058403925031860635,0.13192001577571216,0.027219721072167996,0.09305543806376805,0.1267258486760814,0.12151236208915019,0.09294267887927228,0.07647855099748976,0.09870496427313166,0.12537858909146962,0.0
2807901071,38.572145694925894,2.8559315436371224,33.2078356303559,39.44258866687037,41.235635073046566,-2.2910595776642375,0.0,-2.2910595776642375,-2.2910595776642375,-2.2910595776642375,0.07939944559752672,0.034040580887186846,0.04587910899683226,0.08491962306912787,0.11296349525885818,-0.01572229751344955,0.087467277577277,-0.03971755969248189,8.45331651420689E-4,0.0433954803921083,0.10238099716758016,0.05159016422769728,0.06540472086429405,0.09511690223324863,0.12395127175400858,6.400469299960893
2807901069,38.44502803338256,3.0752102992155694,32.47074279240628,39.401489667149974,41.103691958098715,0.6700736692444732,3.258093864714997,-2.588020195470524,0.6700736692444732,3.928167533959471,0.05064992588920742,0.027406470998061448,0.027069575879573187,0.05461290155510585,0.07278937102266719,0.03909334612480196,0.09836825134768881,0.004936691386873024,0.06161866913990736,0.09671997919318423,0.10729165750130679,0.05719029733605345,0.0642794968332908,0.09972144680353648,0.13538040784663774,0.0
2807901075,39.64099936733336,2.162795897381581,35.515699814315525,40.367563945297654,41.68191272941966,1.0102654085439982,3.2958652759549416,-2.285599867410945,1.0102654085439982,4.30613068449894,0.05004778397164837,0.02758861596420565,0.038315403653426096,0.05590555517981693,0.06630221360440676,0.0631278181020799,0.12112798384475466,0.05134378838641282,0.0933584187434809,0.12076918567591174,0.11976492062470968,0.07369102579906449,0.07621111476245593,0.1043156540040785,0.13218035032242068,0.0
2807901073,37.72417977585268,2.678479332126427,32.57764936022511,39.02326373557893,39.92834937178445,-1.0595488213759117,1.0923472183199858,-2.1518960396958984,-1.0595488213759117,0.0327983969440743,0.09191696150691929,0.034750001763616575,0.05876997046671398,0.09846609812863451,0.12455749803441109,-0.009741384140563083,0.09465949834791648,-0.029602398718411034,0.010025684430588397,0.04838296129448034,0.10731144921180613,0.05768588355913663,0.06828662090141763,0.09692323714364731,0.12467355000060124,3.846914114634058
2807901088,38.28192753523484,2.3419583093577896,33.825333471732094,39.45685132483334,40.3132067875923,0.9124124960037855,2.9962820875591043,-2.0838695915553194,0.9124124960037855,3.9086945835628892,0.055067521451397636,0.02497807096860999,0.03153164733933169,0.05977138760924769,0.07950590871069577,0.013783345429628703,0.09779746234063119,-0.008649349133629667,0.03558645739766874,0.07202988373755559,0.12305059528239877,0.05377858872086357,0.08014565082320216,0.11756229421814485,0.14543725760022722,0.0
2807901115,38.740068503340055,2.0841820373819626,34.789888817150974,39.408850338142244,40.79497524642451,-0.7108715657712013,2.4328442408643873,-3.1437158066355897,-0.7108715657712013,1.7219726750931874,0.04418541664528685,0.02520880084247063,0.023193117347541137,0.04786695199962541,0.061953107406501354,0.04686282305630902,0.08309352915204511,0.02549813579108424,0.0627369480549166,0.09419401466603951,0.10067319769071167,0.04807326977458613,0.0603700882567469,0.10268359860503276,0.12643239250547036,0.0
2807901113,40.27520939455581,1.9931287332229644,36.57824761234758,40.814153874529026,42.36144170711702,0.4354608176016569,3.4216657326611273,-2.9862049150594707,0.4354608176016569,3.8571265502627843,0.04669127670053466,0.025353193222028426,0.03613452466429166,0.053379317475912236,0.06336397164855403,0.0634566772466892,0.11724109444278619,0.05509350209240189,0.09328543665196913,0.11958051158736767,0.11779841152633175,0.06762657944221008,0.07477456680713933,0.10495049155098336,0.12735487243843996,0.0
2807901112,39.000554939012915,2.085183633698005,35.149587618788416,39.61571675148037,41.156153444031595,-0.8857292784169358,2.7459623082202227,-3.6316915866371584,-0.8857292784169358,1.8602330298032863,0.0393182769360919,0.027173937183936514,0.021156071156881374,0.04195492604057465,0.05771089906187892,0.02819424172822267,0.08917971720892402,0.007157342839667153,0.046881912236034,0.07837438459010715,0.10961127550303036,0.053142656961510534,0.06610067766587377,0.10477912681141083,0.1357239776810567,0.0
2807901097,40.00982733479843,2.1135247881011727,35.99594552925735,41.00847047963271,41.90825786386883,1.1135252195196994,3.445521092300709,-2.331995872781008,1.1135252195196994,4.559046311820407,0.05682789911746254,0.028353443771086683,0.04446658661173644,0.0642406282455902,0.07570073275096663,0.0731556228640669,0.12369451424425662,0.04321449115331069,0.10673897521106075,0.1294405932950775,0.12237695324167508,0.07573461077042419,0.08053113984191053,0.10525818802556342,0.12757267129162464,0.0
2807901099,39.71051521225415,2.128990754434292,35.70310494893262,40.71482364630758,41.69981269639224,0.5737228238771207,3.559366229835112,-2.985643405957991,0.5737228238771207,4.133089053712233,0.0549700374607432,0.02761058501645605,0.04446677780795439,0.060880185201857465,0.07177343982185545,0.05953649258224877,0.12340141409266302,0.05607484200876379,0.08961814782413609,0.11809246591745336,0.12232883207795914,0.08013388161712112,0.0806711003627569,0.10534355904877063,0.12783567613865374,0.0
2807901101,39.71633930782146,2.0888994846357036,35.71000550522132,40.599109597424466,41.67264903367776,0.8318798942733777,3.306840059793104,-2.474960165519727,0.8318798942733777,4.138719954066482,0.05348630873947681,0.02715897947770139,0.043306400737605506,0.059920776495272096,0.07070115197368175,0.0713510934859047,0.12543882726637262,0.04253016557742995,0.10486774265299022,0.1296835847596016,0.11656062383620686,0.0731482935467309,0.07483210804597702,0.0990663459770115,0.1270198816091954,0.0
2807901100,39.52485727168126,2.1299816568975753,35.44485487138092,40.601786422535056,41.38529904842229,0.6091404953642313,3.365530414867894,-2.7563899195036625,0.6091404953642313,3.974670910232125,0.05453769232522298,0.02483929265691066,0.0405179556321318,0.05982676294712649,0.07163906860720066,0.056123319674237046,0.10961348969644477,0.04555434800432619,0.08321510823016173,0.11083586824383851,0.11390597089075181,0.06250112815470171,0.07211287062787462,0.10149696772382075,0.1276049762006632,0.0
